"","V1"
"COR_VIX_1DayPM",-0.117094806653626
"COR_VIX_2DayPM",-0.161222672162242
"COR_VIX_3DayPM",-0.192624952007662
"COR_VIX_4DayPM",-0.216482298007929
"COR_VIX_5DayPM",-0.236686564032447
"COR_VIX_6DayPM",-0.248666204271539
"COR_VIX_7DayPM",-0.26215790325692
"COR_VIX_8DayPM",-0.273537671171002
"COR_VIX_9DayPM",-0.284243609268381
"COR_VIX_10DayPM",-0.294270524682848
"COR_VIX_11DayPM",-0.308771506728651
"COR_VIX_12DayPM",-0.319609915248728
"COR_VIX_13DayPM",-0.330428794669019
"COR_VIX_14DayPM",-0.343902498085547
"COR_VIX_15DayPM",-0.356490727938981
"COR_VIX_16DayPM",-0.367171415686357
"COR_VIX_17DayPM",-0.37664238876199
"COR_VIX_18DayPM",-0.386290540104116
"COR_VIX_19DayPM",-0.396063225869499
"COR_VIX_20DayPM",-0.405153754765714
